Year-Week,Open,Close,High,Low,Volume,Label
2018-00,45.91,46.07,46.22,45.34,49330300.0,Good
2018-01,45.95,46.15,46.39,45.86,42816400.0,Good
2018-02,46.15,47.16,47.25,46.14,40283400.0,Good
2018-03,47.14,48.53,48.62,47.09,55854400.0,Good
2018-04,48.21,46.73,48.46,46.63,46556600.0,Bad
2018-05,46.65,43.13,46.92,42.19,89374300.0,Bad
2018-06,43.56,44.98,45.64,43.37,57290700.0,Good
2018-07,44.75,44.04,44.83,43.22,33447900.0,Bad
2018-08,44.23,43.72,44.39,42.82,56500700.0,Bad
2018-09,43.57,44.82,44.82,43.47,43031900.0,Good
2018-10,44.95,43.46,45.09,43.45,65723300.0,Bad
2018-11,43.46,42.33,43.71,42.29,52363100.0,Bad
2018-12,42.61,43.43,43.92,42.25,38354900.0,Good
2018-13,43.44,43.92,44.61,42.47,52250800.0,Good
2018-14,44.03,44.51,44.69,43.72,38054400.0,Good
2018-15,44.65,43.74,45.03,43.58,40896500.0,Bad
2018-16,43.74,43.31,44.1,41.91,62637500.0,Bad
2018-17,43.5,42.36,43.69,41.52,54549000.0,Bad
2018-18,42.34,42.14,42.49,41.67,38613500.0,Bad
2018-19,42.25,42.18,42.38,41.45,54847800.0,Bad
2018-20,42.31,42.4,42.6,41.93,35270400.0,Good
2018-21,42.12,43.12,43.32,42.1,36350200.0,Good
2018-22,43.36,43.95,44.0,43.04,43205700.0,Good
2018-23,43.95,44.12,44.52,43.45,59247000.0,Good
2018-24,43.88,43.25,43.96,42.96,49219700.0,Bad
2018-25,43.16,43.86,44.1,42.99,53461800.0,Good
2018-26,43.78,44.64,44.94,43.58,28601200.0,Good
2018-27,44.54,44.74,45.0,44.34,30239200.0,Good
2018-28,44.73,45.28,45.43,44.53,37629700.0,Good
2018-29,45.28,46.21,46.59,44.61,58306700.0,Good
2018-30,46.1,46.62,46.76,46.05,45815400.0,Good
2018-31,46.6,46.08,46.87,45.97,31902400.0,Bad
2018-32,46.05,46.6,46.73,45.65,36018900.0,Good
2018-33,46.68,45.63,46.87,45.58,45243200.0,Bad
2018-34,46.05,44.57,46.05,44.39,50438300.0,Bad
2018-35,44.6,45.72,46.0,44.51,32202400.0,Good
2018-36,45.91,45.99,46.31,45.61,38402400.0,Good
2018-37,46.0,46.58,46.69,45.87,45943400.0,Good
2018-38,46.49,46.19,46.53,45.57,37980500.0,Bad
2018-39,46.17,45.88,46.56,45.43,36321400.0,Bad
2018-40,45.99,44.68,46.7,44.25,54839500.0,Bad
2018-41,44.64,46.33,46.49,44.59,48204400.0,Good
2018-42,46.37,45.92,47.39,45.43,74788100.0,Bad
2018-43,46.15,48.0,48.15,46.04,80284200.0,Good
2018-44,48.0,49.68,49.89,47.92,48774000.0,Good
2018-45,49.61,50.17,50.25,49.27,51465600.0,Good
2018-46,50.31,49.02,50.84,48.55,34607000.0,Bad
2018-47,49.01,50.4,50.49,48.67,57651900.0,Good
2018-48,49.87,49.09,50.51,48.66,52300500.0,Bad
2018-49,49.45,49.34,50.02,48.47,58002600.0,Bad
2018-50,49.34,47.57,49.53,47.1,86277200.0,Bad
2018-51,47.62,47.2,48.01,45.66,44527300.0,Bad
2018-52,47.49,47.35,47.54,46.96,0,Bad
2019-00,46.94,47.57,47.57,46.53,27728100.0,Good
2019-01,47.57,47.34,47.75,46.34,60518400.0,Bad
2019-02,47.25,47.61,47.69,46.81,53056000.0,Good
2019-03,47.7,47.37,48.29,47.21,34396800.0,Bad
2019-04,47.22,48.7,48.78,46.94,76262700.0,Good
2019-05,48.7,49.5,49.5,48.54,41202100.0,Good
2019-06,49.57,45.24,49.94,45.2,118339100.0,Bad
2019-07,45.32,45.28,45.95,44.77,75313600.0,Bad
2019-08,45.44,45.38,45.64,44.42,77116200.0,Bad
2019-09,45.53,44.84,45.79,44.61,54957500.0,Bad
2019-10,45.14,45.3,46.34,45.1,101329600.0,Good
2019-11,45.43,45.93,46.11,45.18,67462000.0,Good
2019-12,45.86,46.86,46.92,45.79,50145200.0,Good
2019-13,46.99,46.47,47.17,46.04,36842000.0,Bad
2019-14,46.54,46.74,47.0,46.27,34744100.0,Good
2019-15,46.88,47.48,47.58,46.7,34820900.0,Good
2019-16,47.4,48.26,48.72,47.02,62923800.0,Good
2019-17,48.17,48.72,49.18,48.11,44265600.0,Good
2019-18,48.33,48.19,48.61,47.07,42873200.0,Bad
2019-19,47.91,49.2,49.66,47.73,57295000.0,Good
2019-20,49.04,49.61,49.9,48.45,45724800.0,Good
2019-21,49.6,49.13,49.67,48.41,32990400.0,Bad
2019-22,49.16,51.49,52.19,49.02,58332200.0,Good
2019-23,51.54,51.31,52.14,50.78,40051000.0,Bad
2019-24,51.25,51.55,51.89,50.47,50556200.0,Good
2019-25,51.74,50.92,52.2,50.52,52639800.0,Bad
2019-26,51.07,52.11,52.33,50.78,24739200.0,Good
2019-27,52.2,52.12,52.33,51.43,35929700.0,Bad
2019-28,52.28,51.39,52.47,51.37,37664500.0,Bad
2019-29,51.52,54.17,54.82,51.13,79638200.0,Good
2019-30,54.17,52.33,54.3,51.91,57589900.0,Bad
2019-31,52.39,53.42,53.9,51.4,57900000.0,Good
2019-32,53.28,54.41,54.49,52.87,52352000.0,Good
2019-33,54.44,53.74,54.78,53.39,40691500.0,Bad
2019-34,54.0,55.04,55.34,53.73,41592900.0,Good
2019-35,54.98,55.23,55.92,54.76,33488600.0,Good
2019-36,55.03,54.26,55.31,53.85,45622600.0,Bad
2019-37,54.1,53.91,54.7,53.63,47819600.0,Bad
2019-38,53.91,54.31,54.64,53.88,38312500.0,Good
2019-39,54.15,54.54,54.78,52.82,51718000.0,Good
2019-40,54.33,53.3,54.36,53.2,38361500.0,Bad
2019-41,53.49,54.78,55.39,53.13,51331800.0,Good
2019-42,54.45,53.75,54.82,53.67,38923800.0,Bad
2019-43,53.74,53.9,54.74,53.16,40491400.0,Good
2019-44,53.96,52.21,54.0,51.96,51439800.0,Bad
2019-45,52.33,52.67,52.68,51.58,42557500.0,Good
2019-46,52.68,53.03,53.44,52.67,41619200.0,Good
2019-47,53.28,53.4,54.1,52.77,30037300.0,Good
2019-48,53.32,54.42,54.5,52.85,50033900.0,Good
2019-49,54.3,54.42,54.55,53.66,42178500.0,Good
2019-50,54.69,54.97,55.2,53.89,61580800.0,Good
2019-51,55.0,55.35,55.45,54.64,16483300.0,Good